Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
ANGLO MOROC CAN TOURIST AGENCY, tenant une agence de voyage, Rue Du Mexique N7,Tanger-Assilah,35.77997 : -5.81408, 4493,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000 
PUBLIGAD (PUBLIGAD), marchand effectuant import-export, Rue Beida Immeuble 178 Yacoub Mansour,Casablanca,33.586868 : -7.549524, 56783,Tribunal de Casablanca, 001514693000041,Societe a Responsabilite Limitee, 300 000 
STE BOUSEHAB GARDIENNAGE, tous travaux de secrutie de gardiennage et nettoyage tous corps d'etat., Lilali Oufir Agl Abou Taour Et Termidi Immeuble L'est App 23,El Maarif (AR),33.58694440000001 : -7.6111111000000164, 169899,Tribunal de Casablanca, 000211217000062,Societe a Responsabilite Limitee a Associe Unique, 10 000 
CONTROLE AUTOMATION (STE DE) (SOCONTRA), la vente d'appareils d'automatique l'etude et la fabrication de nouveaux appareils d'automatisme l'importation de toutes matieres premieres..., 4 Place Marechal,Casablanca,33.595016 : -7.61879, 35947,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
AMBASSADOR CAR, location de voitures sans chauffeur, Avenue Bir Anzarane N63,Mohammedia,33.700344 : -7.388539, 1553,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 800 000 
MATERIEL AUTOMOBILE INDUSTRIEL ET AGRICOLE (MAIA)," reparation, commerce tout sur le marche interieur qu'a l'import-export de tous produits", Bd Poeymirau Vn,Fes,34.035872 : -4.997663, 2558,Tribunal de Fes,,Societe Anonyme, 100 000 
RBATI (STE DE DISTRIBUTION) (SODIRA), marchand papetier en detail (fournitures de bureau), 10 Place De Mamounia,Rabat,34.020858 : -6.838925, 26215,Tribunal de Rabat,,Societe a Responsabilite Limitee, 500 000 
PECHES DE CORAIL ET TRAVAUX SOUS-MARINS (PECORTRASM), travaux sous-marins et peches de corail, 21 Bd Bir Anzarane Maarif,Casablanca,33.57967 : -7.63639, 63705,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
SOS INCENDIE, marchand d'extincteurs d'incendie en gros, Hay Karima Ii N104,Sale,34.053457 : -6.794148, 1359,Tribunal de Sale,,Societe a Responsabilite Limitee, 200 000 
KHAYMAT CHAHRAZAD," restauration general, creperie, cafe, lotisserie, cremerie et toutes operations commerciales import export.", Avenue El Kifah Residence Assabah Imm Hajar.,Rabat,33.990887 : -6.873127, 65405,Tribunal de Rabat, 000043170000059,Societe a Responsabilite Limitee a Associe Unique, 500 000 
MAROCAIN (LE VERGER), exploitation d'un lot de colonisation, 35 Imm Aries Rue Amir Abdelkader,Rabat,33.990637 : -6.85354, 3752,Tribunal de Rabat,,Societe Anonyme, 1 000 000 
ANMAR CAR, location de vehicules automobiles sans chauffeur., Bd Prince My Abdellah Arset El Kortbi 41bis 1er Etg Appt N 9,Marrakech-Medina (AR),31.6333333 : -8, 29127,Tribunal de Marrakech,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
EXPRESS NETTOYAGE (STE), entrepreneur de nettoyage des devantures magasins appartements, Im A Ap 8 Rue Mouahidine,Rabat,34.015049 : -6.832719999999995, 43001,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
BENHADOU ET CIE (STE MARBRERIE), marbrerie, 484 Rue Omar Ben Salama,Marrakech,31.66133 : -8.00851, 6059,Tribunal de Marrakech,,Societe en Nom Collectif, 10 000 
UNITE DE CUIR ET DE PEAUX (UCP)," vente de cuir et de peaux l'import, l'export, la represent, la commission et le courtage de tous produits manufactures ou non, matieres...", Beausejour 3bis Rue Des Cyclomens,Casablanca,33.55672 : -7.667043, 49307,Tribunal de Casablanca,,Societe Anonyme, 100 000 
GAFY TRADE INDUSTRY IMPORT EXPORT (GATINIE), industrie des emballages, N 14 Imm Hammam Houria Hay Hassani Derb Houria Rue Ibn Khaldoune,Casablanca,33.573097 : -7.674047, 149053,Tribunal de Casablanca, 001430465000032,Societe a Responsabilite Limitee, 200 000 
COMES (ANCIENS ETS) (COMES)," agrumes, fruits et primeurs", Ain Sebaa Km 6.900 Route De Rabat,Casablanca,33.609434 : -7.519515, 31359,Tribunal de Casablanca,,Societe Anonyme, 500 000 
KESHAB MAROC (STE), tenant un bureau d'etudes (l'engineering forage et prospections des sols), Avenue Nations Unis N68,Rabat,33.994435 : -6.845365, 27759,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
MAROCAINE DE PUBLICITE (AGENCE), exploitation de la publicite sous toutes ses formes, 406 Bd Mohamed V,Casablanca,33.590214 : -7.591511, 421,Tribunal de Casablanca,,Societe Anonyme, 750 000 
SOBACO, entrepreneur de travaux divers ou de construction, 13 Avenue Allal Ben Abdallah,Rabat,34.021655 : -6.836523, 24655,Tribunal de Rabat,,Societe Anonyme, 50 000 
SIUM MAROC (STE), exploitation de materiel agricole, 6 Rue Daraa Gueliz,Marrakech,31.637794 : -8.018591, 6747,Tribunal de Marrakech,,Societe Anonyme, 100 000 
RAPCO (STE) (RAPCO), commerce articles de serrage et de fermeture et plus generalement de tous produits denrees marchandises et articles quelconques etc, 380 Avenue Saint,Casablanca,33.533333 : -7.583333, 19363,Tribunal de Casablanca,,Societe Anonyme, 300 000 
ATLANTIC SKHIRAT BEACH, promotion immobiliere touristique, 978 Groupe El Ahd Nahda I,Rabat,33.987556 : -6.807352, 59347,Tribunal de Rabat, 000016433000084,Societe a Responsabilite Limitee, 100 000 
BEN ABDELWAHAB ET FILS, prestateur de services divers, Av De La Plage Imm Ben Abdelwahab Appt N21,Tetouan,35.572464 : -5.375723, 2183,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 10 000 
TAMARIS (STE IMMOBILIERE), acquisition tous immeubles urbais ou ruraux batis ou non construction tous immeubles exploitation realisation ou echange ..., 38 Rue Gallieni,Casablanca,33.580825 : -7.623784, 8057,Tribunal de Casablanca,,Societe Anonyme, 100 000 
TALMEST (STE DE FOURNITURES ET TRAVAUX DIVERS), entrepreneur de travaux divers ou construction, Hay Ait Barra,Ouarzazate,30.919091 : -6.903823, 327,Tribunal de Ouarzazate,,Societe a Responsabilite Limitee, 60 000 
HANAA BOIS, import et export de plusieurs especes de marchandises, 137 Sidi Boughaba,Tetouan,35.572464 : -5.375723, 1791,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 100 000 
CASABLANCAIS DE QUINCAILLERIE (COMPTOIR), commerce de la quincaillerie et articles menagers en general, 139 Route De Mazagan,Casablanca,33.58694440000001 : -7.6111111000000164, 21681,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 22 500 
REPRESENTATION ET FABRICATION DES ARTICLES DE QUINCAILLERIE (REFAQ), fabricant de quincaillerie, Antaria 1 Rue 7 N168,Casablanca,33.5854360705 : -7.54480814159, 49101,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
FOURNITURE POUR L'INDUSTRIE ET LA DISTRIBUTION COMMERCIALE (FIDELCO), achat et vente import-export de tous articles produits materiels etc..., 161 Bd Rahal El Meskini 7eme Etage,Casablanca,33.58888 : -7.60957, 48073,Tribunal de Casablanca,,Societe Anonyme, 100 000 
AOUAMA, achat vente reparation de tous vehicule neuve ou usages de machines ou appareils et toutes pieces de recharge neuves ou usagees, 16 Rue Arkayee Al Aouama 2,Tanger-Assilah,35.757908 : -5.796451, 7123,Tribunal de Tanger,,Societe a Responsabilite Limitee, 12 000 
EMILIO, vente de vetements confectionnes et maroquinnerie en detail," 1 Rue Tata, Place Du 16 Novembre Commune Sidi Belyout",Sidi Belyout (AR),33.594253 : -7.617078, 69013,Tribunal de Casablanca, 000000357000061,Societe a Responsabilite Limitee, 100 000 
MEDITERANEENNE DE CONSTRUCTION ET DE DEVELOPPEMENT (STE) (MECOD), entrepreneur de travaux divers ou de construction, 70 Avenue Allal Ben Abdellah,Rabat,34.018926 : -6.834554, 27339,Tribunal de Rabat,,Societe Anonyme, 100 000 
STE SOZEMATRA," materiel informatique, travaux diver", Layt Bnousaad 105 Bassatine N 5 Val Fleuri,Tanger-Assilah,35.768486 : -5.809275, 18805,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000 
BAMA," propriete, exploitation par voie de location ou autrement", 31 Avenue Prince Heritier,Tanger-Medina (AR),35.77918 : -5.81234, 1061,Tribunal de Tanger, 001670119000050,Societe a Responsabilite Limitee a Associe Unique, 303 480 
WARDA SOUSS, marchand de parfum commun au petit detail md importateur md d'articles d'electricites electronique audio visuel la production la distribution, Rue 13 Appt 3 2eme Etage Jamila 7 Cite Djamaa,Casablanca,33.5407859394 : -7.57010769654, 60293,Tribunal de Casablanca,,Societe Anonyme, 100 000 
AMI ACTION MEDIA INTELLIGENT," la societe a pour objet tant au maroc qu'a l'etranger : les travaux de developpement d'applications de gestion, developpement internet, intranet et multimedia, formation, conception graphique tous supports, consulting, installation de reseaux informatiques et domotiques."," Lot Belkadi, Imm. 31, Apt. 2, Route De Kenitra",Sale,34.037053 : -6.817093, 9615,Tribunal de Sale,,Societe a Responsabilite Limitee, 20 000 
SOFABO," marchand de vetements confectionnes, industrie de la bonneterie, fabrication de chaussettes et autres produits similiares", 64 Rue 122 Group G Hay Oulfa,Casablanca,33.5564236661 : -7.67990817114, 96323,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
MANGANO MARGANTI (STE), restaurant, Rue Michel Belliere,Rabat,34.015049 : -6.832719999999995, 4852,Tribunal de Rabat,,Societe en Nom Collectif, 70 000 
HENNY HAMELLE (ETS), fournitures pour l'industrie et l'agriculture, Place Henny's,Meknes,33.895 : -5.554722200000015, 12611,Tribunal de Meknes,,Societe Anonyme, 200 000 000 
FINANCIERE DE RECHERCHES ET DE GESTIONS (STE) (SOFIREGEST)," recherche de tous procedes chimiques au bacterio chimiques, pouvant s'appliquer au traitement ou la transformation des produits marocains", 3 Rue Labas,Casablanca,33.593605 : -7.617865, 17657,Tribunal de Casablanca,,Societe Anonyme, 18 000 000 
LAABIDIAA IMPORT EXPORT (STE), import export, 37 Bd Allal Ben Abdellah Imm El Watania Appt 316,Meknes,33.8972 : -5.54591, 19359,Tribunal de Meknes, 001809885000056,Societe a Responsabilite Limitee, 200 000 
BATTANA IMPORT EXPORT (STE), marchand effectuant import-export, Rue Nouasseur Battana N66,Sale,34.02781 : -6.803167, 1963,Tribunal de Sale,,Societe a Responsabilite Limitee, 100 000 
BERRECHID (AGRICULTURE INDUSTRIELLE) (AGRIBER)," marchand de grandes machines agricoles, marchand de grains en gros", Boulevard My Ismail N62,Settat,33.003258 : -7.61359, 593,Tribunal de Berrechid,,Societe a Responsabilite Limitee, 2 000 000 
SOCIETE DES CHANTIERS DIVERS ET DE NEGOCE (SDCDN), entrepreneur de travaux divers et negociant, 94 Lotissement El Massira,Taourirt (M),34.413556 : -2.894336, 18445,Tribunal de Oujda, 001733850000093,Societe a Responsabilite Limitee a Associe Unique, 2 500 000 
ENTREPRISE AZROU, travaux de construction generale publics et prives, E 22 Zone Industrielle Tassila,Agadir (M),30.427755 : -9.598107, 333,Tribunal de Agadir, 001711678000053,Societe a Responsabilite Limitee, 120 000 
HOTEL BAR RESTAURANT ZIZI," exploitation d'hotel, service et animation touristique", 3 Avenue Med V,Arfoud (M),31.434711 : -4.233654, 1903,Tribunal de Errachidia,,Societe a Responsabilite Limitee, 1 000 000 
EXPLOITATION DES GRANULATS MAROCAINS," la societe a pour objet : - exploitation de carrieres de materiaux de construction du barrage de tensift et autres ; - vente de materiaux de construction, sable, gravier etc ... - et plus generalement, toutes operations commerciales, industrielles, mobilieres, immobilieres et financieres, se rattachant directement ou indirectement aux objets precites, ou susceptibles d'en favoriser la realisation et le developpement, ainsi que toute participation directe ou indirecte, sous quelque forme que ce soit, dans les entreprises poursuivant des buts similaires ou connexes."," 61, Rue Yougoslavie, Passage Ghandouri, Bloc F Bureau Ndeg 7 Gueliz",Gueliz (AR),31.63552 : -8.01434, 25935,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 50 000 
ALLIANCE COMMERCIALE (L'), consignation textile etc..., 104 Avenue Poeymiran,Casablanca,33.591468 : -7.611343, 22723,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 3 000 
ORIENTAL (COUVOIR ET ELEVAGE DE L')," elevage poulette de reproduction, poussins d'un jour", Angle Bd Des Far Et Route De Taouima,Nador,35.141832 : -2.92596, 2045,Tribunal de Nador,,Societe a Responsabilite Limitee, 1 600 000 
4P MERCHANDISING & LOGISTICS (4PML), transport de marchandise et logistiques, Imm 1 Bis Angle Rue Socrate Et Rue Abou Taour 5eme Etage Appt 13 Maarif,El Maarif (AR),33.57813 : -7.644535, 157089,Tribunal de Casablanca, 001530565000043,Societe Anonyme, 9 000 000 
CARIC (STE) (CARIC)," toutes operations financieres, commerciales, industrielles, mobilieres et immobilieres", 38 Avenue Gallieni,Casablanca,33.593575 : -7.61524, 8369,Tribunal de Casablanca,,Societe Anonyme, 10 000 
RESIDENCE COMILLAS, promotion immobiliere, 16 Rue Antaki N15 1er Etage.,Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 6481,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000 
MAGHREB GENIE CIVIL, fourniture et fabricatioin de materiaux de construction, Bd Mohamed V Imm El Alj,Oujda-Angad,34.703448 : -1.896195, 11081,Tribunal de Oujda,,Societe Anonyme, 500 000 
FITNESS-CENTRE, tenant un cours de culture physique ou d'arts d'agrement," 2, Angle Rue Halab Et Avenue Mohamed V",Rabat,34.015049 : -6.832719999999995, 28357,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
ALMOU (STE) (ALMOU), tous produits alimentaires boissons alcolisees maroquinerie et produits artisanaux, Angle Avenue Zerktouni Et Abdelaziz Boutaleb N1,Rabat,34.011277 : -6.854598, 44121,Tribunal de Rabat,,Societe Anonyme, 10 000 
BOUVARD POUR LA CRISTALLISATION DES SELS (STE DES BREVETS) (SOCRISEL), acquisition exploitation pour tous moyens de tous etablissements indsutriels et commerciaux, Villa Michele Jchau Pierre Rue Berchous,Casablanca,33.56697 : -7.63191, 22121,Tribunal de Casablanca,,Societe Anonyme, 20 500 000 
HOZIEL-TAYLOR," creation, acquisition, location, vente, exploitation tous fonds de commerce de tailleur d'habits pour hommes et dames,....", 7 Rue De Marseille,Meknes,33.895 : -5.554722200000015, 10347,Tribunal de Fes,,Societe a Responsabilite Limitee, 200 000 
TECHNIQUE STUDIES, tenant bureau d'etudes d'enquetes et de recherches, Hay Fath Mont Fleuri I,Fes,34.013963 : -4.981927, 16629,Tribunal de Fes,,Societe Anonyme, 10 000 
FEMACRI, fabrication de vetements confectionnees import export, 2 Lot 39 Zone Industrielle Mly Rachid,Casablanca,33.573358 : -7.552594, 142137,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
RUN WAY TEX (RUN WAY TEX), confection d'article d'habillement, 5 Rue Driss Ben Abdeslam,Casablanca,33.583 : -7.64262, 59297,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000 
AMAR (COMPTOIR DE BOULONNERIE ET VISSERIE) (C.B.V.A), marchand de quincaillerie, 760 Route De Mediouna,Casablanca,33.575069 : -7.598582, 53685,Tribunal de Casablanca,,Societe Anonyme, 100 000 
UNNISAT MAROC," marchand importateur, entrepreneur d'installations electriques (antennes paraboliques)", 41 Rue Fatima Fihriya Ap 5,Rabat,34.013745 : -6.850313, 42079,Tribunal de Rabat,,Societe Anonyme, 40 000 
BOUSSEKSOU (ESE), construction de batiment et travaux divers, 38 Av Mazraa Imm Soumia,Sale,34.0456478 : -6.8024781, 3673,Tribunal de Sale,,Societe a Responsabilite Limitee, 100 000 
MAROC ORIENTAL (STE DES PLATRIERES DU), fabrication du platre et chaine hydraulique et derives, 54 Bd Foch,Oujda-Angad,34.687889 : -1.915403, 2258,Tribunal de Oujda,,Societe a Responsabilite Limitee, 100 000 
MANUFACTURE DE CONFECTION EXPORT (MCE), fabricant de vetement confectionne," Bd Chefchaouni Route 110 Km 12,500",Casablanca,33.58694440000001 : -7.6111111000000164, 46849,Tribunal de Casablanca,,Societe Anonyme, 15 000 000 
L'ESPACE VETERNAIRE," edition, impression et diffusion de periodiques relatifs a l'elevage et sante animale", N 39 Angle Michel De L'hospital Et Bd Boured Residence Tassnime Appt B 2 Roches Noires,Assoukhour Assawda (AR),33.5985 : -7.58639, 78453,Tribunal de Casablanca, 001648906000016,Societe a Responsabilite Limitee a Associe Unique, 200 000 
SUD GLACE," fabrication et commercialisation de glaces, l'achat, la vente, l'exploitation, le stockage, le depot, la conservation et le transport du poissons et..", Bd De La Mecque Bp 398,Laayoune,27.133789 : -13.176787, 2029,Tribunal de Laayoune,,Societe a Responsabilite Limitee, 6 500 000 
GERANCE ET D'ENTRETIEN D'IMMEUBLES (STE DE), gerance et entretiens d'immeubles, 2 Rue Berge,Rabat,34.015049 : -6.832719999999995, 6362,Tribunal de Rabat,,Societe a Responsabilite Limitee, 550 
ZELIS (BOULANGERIE PATISSERIE), boulangerie patisserie confiserie, Rue Ibn Ass N2,Tanger-Assilah,35.780897 : -5.810207, 5299,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000 
MAROCAINE (STE IMMOBILIERE), toutes operations immobilieres, 247 Bd De La Liberte,Casablanca,33.58465 : -7.610665, 1989,Tribunal de Casablanca,,Societe Anonyme, 100 000 
SOCIETE COOPERATIVE ARTISANALE DES FABRICANTS DE CHAUSSURES DE RABAT, fabrication de chaussures, 13 Avenue De Temara Kissariat Paanounia,Rabat,33.95107 : -6.8737, 16125,Tribunal de Rabat,,Autre Forme Juridique, 301 000 
GARBOTEX (GARBOTEX)," la confection de vetement, la prise de participation d'interet aux societe ayant un objet similaire import export", Quartier Racine Allee Mohamed Sidki Ndeg 22 Ex N 8,Casablanca,33.592056 : -7.632992, 65499,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 50 000 
EL MGHARI LAMSIAH, marchand effectuant import export, Rue Soumali Hay Pam Zaio,Nador,35.1666667 : -2.9333332999999584, 6105,Tribunal de Nador,,Societe a Responsabilite Limitee, 100 000 
ALATZAS ET CIE (ETS), operations industrielles mobilieres et immobilieres..., 22 Et 26 Rue De L'aviation Francaise,Casablanca,33.587988 : -7.617225, 7619,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 15 000 
MANUFACTURE D'INSTALLATION ET D'APPAREILS PARCKMETRE AUTOMATIQUE (STE) (SMIAPA)," entrepreneur installations electriques, panneaux publicitaires et de signalisations, parcumetres et fournitures diverses, marchand importateur", 121 Bd Abdallah Ben Yacine,Casablanca,33.58993 : -7.5965, 52067,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 3 000 000 
